product_id,Description
5c136c3cb870cf4e458afee4,Women Spring and Summer Fashion Soild Color Vest Off Shoulder Bandage Vest Casual Low Cut Sport Wear Ladies Bodycon Sleeveless Tank Top
5e9a74e447f7d92c8db8d14b,Summer mens cool sport suit Sports Wear Casual Jogging Suits Short Sleeve Outfit Sets
5af6bc9c13927d50370db58a,Fashion Women Jumpsuits Slit Bohemia Maxi Long Dress Womens Printed Dress Rose Boho Beach Shorts
5d1573a55a16864c5de706ab,Plus Size Women's Fashion Loose Casual V neck long sleeve Floral print summer dress
5c9212fc8de79667e3c7ca59,"Summer Fashion New Women Letter Funny O-neck T-shirt "" I Only Look Up To You "" Love T-shirt / "" Don't Flatter Yourself "" Graphic Tee / March T-shirt"
5ea2877224b9643185e52b58,Women Fashion Summer V Neck Camisole Vest Solid Color Tops Sleeveless T-shirt Loose Casual Plus Size Tank Tops
5d806ae97c339c307264cf76,Women Fashion Swimwear Two Pieces Split Bikini Set Summer Printed Beach Bathing Swimsuits
5ee717cbcb636e7b8b597fc3,Womens Fashion 3D Skull Print Cut Out Back Tank Top Summer Sleeveless Graphic Shirt Slim Fit Cotton Gothic Tee Tops Plus Size Vest
5ebb9faea86f7a4d86e2f6fb,Women Loose Casual Printed V Neck Long Dress Plus Size Wave Point Dress Summer Dress
5ceb62be9795ee4693f2cd00,NEW Women's Summer Floral Sleeveless Spaghetti Strap Backless Casual Dress Short Dress MINI Dress Party Dress Plus Size S-5XL
5af519e189a29b15fca1b13b,Women Sexy Lace Patchwork V-Neck Backless Summer Beach Mini Dress
5e81acbde187530740f207c6,New Fashion Summer Women Casual Dress Round Neck Loose Big Swing Skirt Sleeveless Soild Color Beach dress
5c879aba202e6b38cd317164,Sexy Solid Ruffled Chiffon Sling Top Pure Color Women Summer Tank Top Plus Size
5ed1b644b1e34008ce012d4b,Summer Women Sling Dress V-neck Floral Pleated Strap Casual Pocket Large Dress
5d52b1d7314eb61030644375,Zanzea S-5XL Summer Women Crew Neck Sleeveless Graffiti Printed Casual Loose Maxi Dress Robes 
5ebff6d34a4cf4438dba5d80,Women's Summer New Fashion Sports Shorts Solid Color Elastic Shorts Female Slim Fit Running Short Pants Gym Workout Elastic Casual Sports Short Pants
5eba6ecb9a9e129fb97b5dfd,Women s New Fashion Solid Color Pants Loose Casual Trousers Wide Leg Pants
5ebf5819ebac372b070b0e70,Women Summer Shorts Lace Up Elastic Waistband Loose Thin Casual Pants Plus Size S-8XL
5d04e3db2ec1245228829a64,European and American Classic Fashion Summer Ladies Short-sleeved Cotton Dress
5aec22cec25735338c544690,2018 New Fashion Women Casual Playsuit Ladies Jumpsuit Romper Summer Floral Playsuit Brand New (3 Colors)
5ec5cf37cd3da70de19c3f18,Women Summer Three-color Stitching Short Sleeve Long Dress Ladies Casual V Collar Cotton Plus Size Long Dresses XS-5XL
